title,link
Roundcube.Webmail.rcube_string_replacer.XSS,www.fortiguard.com/encyclopedia/ips/54673
OpenSSH.Terrapin.Attack,www.fortiguard.com/encyclopedia/ips/54577
GStreamer.gst-plugins-good.gstflacparse.Integer.Overflow,www.fortiguard.com/encyclopedia/ips/54541
Netgate.pfSense.status_logs_filter_dynamic.php.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/54543
WordPress.wp_lang.Directory.Traversal,www.fortiguard.com/encyclopedia/ips/54545
Apple.Safari.Webkit.parent-tab.processing.XSS,www.fortiguard.com/encyclopedia/ips/54539
GStreamer.RealMedia.rmdemux.Integer.Overflow,www.fortiguard.com/encyclopedia/ips/54536
quic-go.Crypto.Ack.Nil.Pointer.DoS,www.fortiguard.com/encyclopedia/ips/54531
Linux.Kernel.ksmbd.Compounded.Session.Information.Disclosure,www.fortiguard.com/encyclopedia/ips/54512
Qlik.Sense.qmc.Directory.Traversal.Vulnerability,www.fortiguard.com/encyclopedia/ips/54477
PTC.Codebeamer.ALM.errorHandler.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/54421
Directus.File.Collection.Import.SSRF,www.fortiguard.com/encyclopedia/ips/54414
FortiOS.webUI.JSON.params.DoS,www.fortiguard.com/encyclopedia/ips/54415
JumpServer.SessionViewSet.Authentication.Bypass,www.fortiguard.com/encyclopedia/ips/54385
XWiki.User.Profile.Stored.XSS,www.fortiguard.com/encyclopedia/ips/54350
Sielco.Radio.Link.FM.Transmitters.Privilege.Escalation,www.fortiguard.com/encyclopedia/ips/54337
Roundcube.Webmail.rcube_washtml.php.XSS,www.fortiguard.com/encyclopedia/ips/54306
Sinilink.XY-WFT1.CVE-2022-43704.Authentication.Bypass,www.fortiguard.com/encyclopedia/ips/54307
Hikvision.Access.Control.Intercom.update.Authentication.Bypass,www.fortiguard.com/encyclopedia/ips/54299
PyTorch.Model.Server.Insecure.Remote.MAR.File.Download.Request,www.fortiguard.com/encyclopedia/ips/54226
SAP.BSP.Test.Application.it00.ApplicationURL.Open.Redirect,www.fortiguard.com/encyclopedia/ips/54178
Apache.Tomcat.FormAuthenticator.Open.Redirect,www.fortiguard.com/encyclopedia/ips/54103
FG-VD-53974.0day,www.fortiguard.com/encyclopedia/ips/53974
FG-VD-53990.0day,www.fortiguard.com/encyclopedia/ips/53990
Suprema.BioStar.2.search_month.values.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53838
FortiOS.Guest.Management.XSS,www.fortiguard.com/encyclopedia/ips/53704
Zimbra.Collaboration.momoveto.XSS,www.fortiguard.com/encyclopedia/ips/53730
JetBrains.TeamCity.Copy.Build.Step.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/53668
Pi-Hole.AdminLTE.phpqueryads.Unauthorized.Access,www.fortiguard.com/encyclopedia/ips/53602
Juniper.Networks.JUNOS.JWeb.Improper.Authentication,www.fortiguard.com/encyclopedia/ips/53595
Linux.Kernel.ksmbd.Module.ksmbd_tcp_readv.Function.DoS,www.fortiguard.com/encyclopedia/ips/53585
H2.Web.Interface.Create.Alias.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53572
LibreNMS.Ports.list.inc.php.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/53578
FortiOS.SSL.VPN.Proxy.Null.Pointer.Dereference.DoS,www.fortiguard.com/encyclopedia/ips/53472
Advantech.WebAccess.LogPg.asp.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53556
Advantech.WebAccess.Quality.asp.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53560
FortiOS.SSL.VPN.CVE-2023-36641.Memory.Corruption,www.fortiguard.com/encyclopedia/ips/53481
GE.MDS.PulseNET.File.Name.Information.Disclosure,www.fortiguard.com/encyclopedia/ips/53553
WordPress.Forminator.Plugin.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/53548
Unified.Automation.UaGateway.ImportCsv.DoS,www.fortiguard.com/encyclopedia/ips/53529
HPE.Intelligent.Management.Directory.Deletion.DoS,www.fortiguard.com/encyclopedia/ips/53524
Roundcube.Webmail.str_replacement.XSS,www.fortiguard.com/encyclopedia/ips/53514
Trend.Micro.SafeSync.change_policy.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53517
Zabbix.Geomap.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53478
FG-VD-53449.0day,www.fortiguard.com/encyclopedia/ips/53449
Foxit.Reader.and.PhantomPDF.Annotation.destroy.Use.After.Free,www.fortiguard.com/encyclopedia/ips/53447
SonicWall.GMS.Analytics.performDownloadTask.Directory.Traversal,www.fortiguard.com/encyclopedia/ips/53439
Trend.Micro.InterScan.WS.VA.LogDelete.Directory.Traversal,www.fortiguard.com/encyclopedia/ips/53430
PepperlFuchs.IO-Link.Master.Null.Pointer.Dereference.DoS,www.fortiguard.com/encyclopedia/ips/52983
TouchDown.TimesheetTracking.CalendarView.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52874
Trend.Micro.InterScan.Messaging.pictureName.Directory.Traversal,www.fortiguard.com/encyclopedia/ips/53425
Serenity.StartSharp.ImageUploadEditor.Arbitrary.File.Upload,www.fortiguard.com/encyclopedia/ips/53403
Arris.DG3450.Cable.Gateway.https_redirect.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/53395
Trend.Micro.SafeSync.countAdMembers.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53391
UCanCode.E-XD++.VES.FlashShape.Memory.Corruption,www.fortiguard.com/encyclopedia/ips/53383
UCanCode.E-XD++.VES.InsertShapePoint.Memory.Corruption,www.fortiguard.com/encyclopedia/ips/53384
UCanCode.E-XD++.VES.StartRichTextEdit.Memory.Corruption,www.fortiguard.com/encyclopedia/ips/53382
WordPress.Beautiful.Cookie.Consent.Banner.CVE-2023-3388.XSS,www.fortiguard.com/encyclopedia/ips/53379
Contec.CONPROSYS.HMI.System.CVE-2023-28651.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53367
Trend.Micro.Control.Manager.Reporting.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53366
MS.Exchange.PowerShell.Remoting.Insecure.Deserialization,www.fortiguard.com/encyclopedia/ips/53359
Franklin.Fueling.Systems.EVO.550.Information.Disclosure,www.fortiguard.com/encyclopedia/ips/53354
GitLab.Community.and.Enterprise.Edition.Merge.Requests.XSS,www.fortiguard.com/encyclopedia/ips/53348
JetBrains.TeamCity.NuGet.Feed.Page.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53337
OpenEMR.Admin.edit_globals.php.Application.Title.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53344
Trend.Micro.Control.Manager.CCGIServlet.SQL.Injection,www.fortiguard.com/encyclopedia/ips/53346
Trend.Micro.Control.Manager.modDLPViolation.Directory.Traversal,www.fortiguard.com/encyclopedia/ips/53338
Foxit.Reader.and.PhantomPDF.Information.Disclosure,www.fortiguard.com/encyclopedia/ips/53333
Siemens.SIMATIC.S7-1200.CPU.filtervalue.XSS,www.fortiguard.com/encyclopedia/ips/53330
SolarWinds.NPM.SqlFileScript.Insecure.Deserialization,www.fortiguard.com/encyclopedia/ips/53314
Git.Source.Code.Management.Patch.Reject.Arbitrary.File.Write,www.fortiguard.com/encyclopedia/ips/53301
UCanCode.E-XD.Visualization.TKDRAWCAD.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53304
UCanCode.E-XD.Visualization.TKGIS.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53303
UCanCode.E-XD.Visualization.UCCDIAGRAM.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53308
UCanCode.E-XD.Visualization.UCCDRAW.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53311
UCanCode.E-XD.Visualization.UCCHMI.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53307
UCanCode.E-XD.Visualization.UCCPRINT.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53305
UCanCode.E-XD.Visualization.UCCSIMPLE.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53309
UCanCode.E-XD.Visualization.UCCUML.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53306
UCanCode.E-XD.Visualization.UCCVIEWER.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/53310
Adobe.InDesign.CVE-2023-29309.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53283
Adobe.InDesign.CVE-2023-29310.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53287
Adobe.InDesign.CVE-2023-29311.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53286
Adobe.InDesign.CVE-2023-29312.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53284
Adobe.InDesign.CVE-2023-29313.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53294
Adobe.InDesign.CVE-2023-29314.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53293
Adobe.InDesign.CVE-2023-29315.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53288
Adobe.InDesign.CVE-2023-29316.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53292
Adobe.InDesign.CVE-2023-29317.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53285
Adobe.InDesign.CVE-2023-29318.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53291
Adobe.InDesign.CVE-2023-29319.Memory.Leak,www.fortiguard.com/encyclopedia/ips/53290
ManageEngine.ADSelfService.Plus.App.Authentication.DoS,www.fortiguard.com/encyclopedia/ips/53297
Draytek.Vigor.2960.Information.Disclosure,www.fortiguard.com/encyclopedia/ips/53113
JetBrains.TeamCity.GitLab.Connection.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53278
KaiOStech.KaiOS.getCallLogList.Information.Disclosure,www.fortiguard.com/encyclopedia/ips/53106
WordPress.Limit.Login.Attempts.Plugin.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53121
Linux.Kernel.ksmbd.SMB2_TREE_CONNECT.Handling.DoS,www.fortiguard.com/encyclopedia/ips/53105
LibreNMS.UserController.php.Username.Stored.XSS,www.fortiguard.com/encyclopedia/ips/53100
LibreNMS.Bills.Information.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52952
JetBrains.TeamCity.Perforce.Connection.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52950
JetBrains.TeamCity.SSH.keys.page.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52939
pgAdmin.Import.Servers.Directory.Traversal,www.fortiguard.com/encyclopedia/ips/52914
ManageEngine.Applications.Manager.CVE-2023-28341.XSS,www.fortiguard.com/encyclopedia/ips/52901
Apache.Zeppelin.WebsocketEventFactory.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52850
Delta.IA.DIAEnergie.PostEnergyType.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52333
ManageEngine.ServiceDesk.Plus.Embed.Video.Link.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52843
GitLab.Community.and.Enterprise.Edition.Kroki.Diagram.XSS,www.fortiguard.com/encyclopedia/ips/52820
ManageEngine.ServiceDesk.Plus.Releases.Status.Comments.XSS,www.fortiguard.com/encyclopedia/ips/52810
Samsung.Galaxy.AppStore.Javascript.Remote.Code.Execution,www.fortiguard.com/encyclopedia/ips/52792
WordPress.Metform.Elementor.Plugin.form-data.php.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52768
JetBrains.TeamCity.avatar.tag.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52750
ETAP.Safety.Manager.Unauthenticated.Reflected.XSS,www.fortiguard.com/encyclopedia/ips/52741
Joplin.MdToHtml.XSS,www.fortiguard.com/encyclopedia/ips/52738
WordPress.Paid.Memberships.Pro.Plugin._getCheckoutButton.XSS,www.fortiguard.com/encyclopedia/ips/52736
Delta.Controls.enteliTOUCH.hmi_userconfig.asp.XSS,www.fortiguard.com/encyclopedia/ips/52737
Grafana.Labs.Grafana.GeoMap.attribution.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52729
Netgate.pfSense.firewall_alias.php.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52734
WordPress.Quick.Event.Manager.Plugin.CVE-2023-23491.XSS,www.fortiguard.com/encyclopedia/ips/52569
Jenkins.Pipeline.Build.Step.Plugin.Job.Name.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52717
Moxa.SDS-3008.switch_contact.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52701
Moxa.SDS-3008.switch_description.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52700
Moxa.SDS-3008.webLocationMessage_text.Stored.XSS,www.fortiguard.com/encyclopedia/ips/52695
GitLab.Community.and.Enterprise.Edition.Label.Color.XSS,www.fortiguard.com/encyclopedia/ips/52683
B&R.Systems.Diagnostics.Manager.sdm.XSS,www.fortiguard.com/encyclopedia/ips/52673
GitLab.CE.EE.CVE-2022-3486.Open.Redirect,www.fortiguard.com/encyclopedia/ips/52670
